ID,Region,Region Link,Estate,Estate Link,Status,Price,Price per feet(built-up),Price per feet(salesable area),Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Management Fee,Property age(year),Address,Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
614078,Causeway Bay,https://www.28hse.com/en/buy/district-g5,Malibu Garden,https://www.28hse.com/en/buy/estate-5754,For sale,11.5,16912.0,21947.0,,Mid level,,680 ,524 ,,26.0,,1162,0,7 hours before,7 hours before,8 hours before,2018.08.24,07-07-2018
617485,Aberdeen,https://www.28hse.com/en/buy/district-g13,Apartment,https://www.28hse.com/en/buy/estate-5717,For sale,4.68,,13765.0,,,1,,340 ,,,,1282,0,7 days before,5 days before,5 days before,2018.07.30,07-07-2018
604025,Aberdeen,https://www.28hse.com/en/buy/district-g13,Yee On Building,https://www.28hse.com/en/buy/estate-22653,For sale,5.88,11902.0,16022.0,,,1,494 ,367 ,,34.0,,1406,1,6 days before,6 hours before,5 days before,2018.07.30,07-07-2018
615777,"Central, Sheung Wan",https://www.28hse.com/en/buy/district-g2,Queen's Terrace,https://www.28hse.com/en/buy/estate-552,For sale,15.0,17123.0,24311.0,,High level,3,876 ,617 ,,15.0,,959,0,10 days before,10 days before,7 hours before,2018.07.31,07-07-2018
617739,Mid-Level,https://www.28hse.com/en/buy/district-g3,Scenic Garden,https://www.28hse.com/en/buy/estate-7335,For sale,37.0,20975.0,25694.0,23A,High level,4,"1,764 ","1,440 ",$ 3700,27.0,,1380,0,7 days before,6 days before,6 days before,2018.07.30,07-07-2018
617386,,,,,For sale,5.4,13500.0,17035.0,,Low level,1,400 ,317 ,,,,1102,0,4 days before,4 hours before,4 days before,2018.08.02,07-07-2018
615333,"North Point, Fortress Hill",https://www.28hse.com/en/buy/district-g7,Provident Centre,https://www.28hse.com/en/buy/estate-1078,For sale,17.38,18275.0,20544.0,,,,951 ,846 ,,36.0,,673,0,10 days before,,2 days before,2018.08.02,07-07-2018
619819,Causeway Bay,https://www.28hse.com/en/buy/district-g5,Le Village,https://www.28hse.com/en/buy/estate-6817,For sale,8.5,,22427.0,A,High level,2,,379 ,$ 1891,16.0,,1308,0,4 days before,2 days before,1 minutes before,2018.08.02,07-07-2018
551804,"Shau Kei Wan, Heng Fa Chuen",https://www.28hse.com/en/buy/district-g11,Apartment,https://www.28hse.com/en/buy/estate-1183,For sale,4.38,,22813.0,,High level,open style,,192 ,,,,2146,0,8 days before,4 hours before,26 minutes before,2018.08.04,07-07-2018
620182,"San Po Kong, Wong Tai Sin",https://www.28hse.com/en/buy/district-g33,Che Cheung Building,https://www.28hse.com/en/buy/estate-6194,For sale,4.8,10959.0,13559.0,,,2,438 ,354 ,,40.0,,240,0,7 days before,1 hours before,,2018.08.06,07-07-2018
611933,"Shau Kei Wan, Heng Fa Chuen",https://www.28hse.com/en/buy/district-g11,Aldrich Garden,https://www.28hse.com/en/buy/estate-1175,For sale,4.9,9702.0,11369.0,,Low level,2,505 ,431 ,,18.0,,1471,0,15 days before,15 days before,15 days before,2018.07.21,07-07-2018
594965,"Kowloon Tong,Ho Man Tin,Yau Yat Tsuen",https://www.28hse.com/en/buy/district-g26,Beverly Villa,https://www.28hse.com/en/buy/estate-2152,For sale,33.98,,21145.0,1B2,Low level,4,,"1,607 ",$ 4600,37.0,,1331,0,2 hours before,2 hours before,2 hours before,2018.08.06,07-07-2018
611936,"Shau Kei Wan, Heng Fa Chuen",https://www.28hse.com/en/buy/district-g11,Tung Yuk Court,https://www.28hse.com/en/buy/estate-1179,For sale,7.8,9408.0,12000.0,,,3,829 ,650 ,,17.0,,1361,0,15 days before,15 days before,15 days before,2018.07.21,07-07-2018
608051,"North Point, Fortress Hill",https://www.28hse.com/en/buy/district-g7,Circle Court,https://www.28hse.com/en/buy/estate-6483,For sale,6.03,14154.0,21307.0,,,,426 ,283 ,,24.0,,1531,1,21 days before,5 days before,3 days before,2018.07.21,07-07-2018
609361,TaiKoo,https://www.28hse.com/en/buy/district-g9,TaiKoo Shing,https://www.28hse.com/en/buy/estate-1140,For sale,17.38,17680.0,19376.0,太古城,,,983 ,897 ,,31.0,,962,0,19 days before,19 days before,18 hours before,2018.07.22,07-07-2018
611109,Island West,https://www.28hse.com/en/buy/district-g1,Viking Court,https://www.28hse.com/en/buy/estate-628,For sale,5.45,,18990.0,,,open style,,287 ,,31.0,,2336,0,17 days before,11 days before,8 hours before,2018.07.23,07-07-2018
374624,Island West,https://www.28hse.com/en/buy/district-g1,Rex Building,https://www.28hse.com/en/buy/estate-6126,For sale,4.58,12582.0,20000.0,低層B室,Low level,open style,364 ,229 ,$ 835,27.0,,4739,1,4 days before,4 days before,5 days before,2018.08.02,07-07-2018
