ID,Region,Region Link,Estate,Estate Link,Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Property age(year),Address
614078,Causeway Bay,https://www.28hse.com/en/buy/district-g5,Malibu Garden,https://www.28hse.com/en/buy/estate-5754,,Mid level,,680.0,524.0,26.0,
617485,Aberdeen,https://www.28hse.com/en/buy/district-g13,Apartment,https://www.28hse.com/en/buy/estate-5717,,,1,,340.0,,
604025,Aberdeen,https://www.28hse.com/en/buy/district-g13,Yee On Building,https://www.28hse.com/en/buy/estate-22653,,,1,494.0,367.0,34.0,
615777,"Central, Sheung Wan",https://www.28hse.com/en/buy/district-g2,Queen's Terrace,https://www.28hse.com/en/buy/estate-552,,High level,3,876.0,617.0,15.0,
617739,Mid-Level,https://www.28hse.com/en/buy/district-g3,Scenic Garden,https://www.28hse.com/en/buy/estate-7335,23A,High level,4,1764.0,1440.0,27.0,
617386,,,,,,Low level,1,400.0,317.0,,
615333,"North Point, Fortress Hill",https://www.28hse.com/en/buy/district-g7,Provident Centre,https://www.28hse.com/en/buy/estate-1078,,,,951.0,846.0,36.0,
619819,Causeway Bay,https://www.28hse.com/en/buy/district-g5,Le Village,https://www.28hse.com/en/buy/estate-6817,A,High level,2,,379.0,16.0,
551804,"Shau Kei Wan, Heng Fa Chuen",https://www.28hse.com/en/buy/district-g11,Apartment,https://www.28hse.com/en/buy/estate-1183,,High level,open style,,192.0,,
620182,"San Po Kong, Wong Tai Sin",https://www.28hse.com/en/buy/district-g33,Che Cheung Building,https://www.28hse.com/en/buy/estate-6194,,,2,438.0,354.0,40.0,
611933,"Shau Kei Wan, Heng Fa Chuen",https://www.28hse.com/en/buy/district-g11,Aldrich Garden,https://www.28hse.com/en/buy/estate-1175,,Low level,2,505.0,431.0,18.0,
594965,"Kowloon Tong,Ho Man Tin,Yau Yat Tsuen",https://www.28hse.com/en/buy/district-g26,Beverly Villa,https://www.28hse.com/en/buy/estate-2152,1B2,Low level,4,,1607.0,37.0,
611936,"Shau Kei Wan, Heng Fa Chuen",https://www.28hse.com/en/buy/district-g11,Tung Yuk Court,https://www.28hse.com/en/buy/estate-1179,,,3,829.0,650.0,17.0,
608051,"North Point, Fortress Hill",https://www.28hse.com/en/buy/district-g7,Circle Court,https://www.28hse.com/en/buy/estate-6483,,,,426.0,283.0,24.0,
609361,TaiKoo,https://www.28hse.com/en/buy/district-g9,TaiKoo Shing,https://www.28hse.com/en/buy/estate-1140,太古城,,,983.0,897.0,31.0,
611109,Island West,https://www.28hse.com/en/buy/district-g1,Viking Court,https://www.28hse.com/en/buy/estate-628,,,open style,,287.0,31.0,
374624,Island West,https://www.28hse.com/en/buy/district-g1,Rex Building,https://www.28hse.com/en/buy/estate-6126,低層B室,Low level,open style,364.0,229.0,27.0,
611147,Island West,https://www.28hse.com/en/buy/district-g1,Kennedy Town Building,https://www.28hse.com/en/buy/estate-679,,,,641.0,475.0,27.0,
617494,"Tsim Sha Tsui,Jordan",https://www.28hse.com/en/buy/district-g31,Grandview Mansion,https://www.28hse.com/en/buy/estate-22665,,Low level,2,,950.0,52.0,
614001,Island West,https://www.28hse.com/en/buy/district-g1,Grace Mansion,https://www.28hse.com/en/buy/estate-5827,4/F A,,2,515.0,341.0,33.0,
612812,"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Apartment,https://www.28hse.com/en/buy/estate-2506,,Mid level,2,,461.0,,
612863,"Tsim Sha Tsui,Jordan",https://www.28hse.com/en/buy/district-g31,Grand Austin,https://www.28hse.com/en/buy/estate-8417,,High level,5 + ,,1840.0,3.0,
612908,"Tsim Sha Tsui,Jordan",https://www.28hse.com/en/buy/district-g31,Grandview Mansion,https://www.28hse.com/en/buy/estate-22665,,Low level,2,,950.0,52.0,
613185,"Tsim Sha Tsui,Jordan",https://www.28hse.com/en/buy/district-g31,The Masterpiece,https://www.28hse.com/en/buy/estate-5236,,High level,3,,2310.0,,
