ID,Status,Price,Price per feet(built-up),Price per feet(salesable area),Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
614078,For sale,11.5,16912.0,21947.0,1162,0,7 hours before,7 hours before,8 hours before,2018.08.24,07-07-2018
617485,For sale,4.68,,13765.0,1282,0,7 days before,5 days before,5 days before,2018.07.30,07-07-2018
604025,For sale,5.88,11902.0,16022.0,1406,1,6 days before,6 hours before,5 days before,2018.07.30,07-07-2018
615777,For sale,15.0,17123.0,24311.0,959,0,10 days before,10 days before,7 hours before,2018.07.31,07-07-2018
617739,For sale,37.0,20975.0,25694.0,1380,0,7 days before,6 days before,6 days before,2018.07.30,07-07-2018
617386,For sale,5.4,13500.0,17035.0,1102,0,4 days before,4 hours before,4 days before,2018.08.02,07-07-2018
615333,For sale,17.38,18275.0,20544.0,673,0,10 days before,,2 days before,2018.08.02,07-07-2018
619819,For sale,8.5,,22427.0,1308,0,4 days before,2 days before,1 minutes before,2018.08.02,07-07-2018
551804,For sale,4.38,,22813.0,2146,0,8 days before,4 hours before,26 minutes before,2018.08.04,07-07-2018
620182,For sale,4.8,10959.0,13559.0,240,0,7 days before,1 hours before,,2018.08.06,07-07-2018
611933,For sale,4.9,9702.0,11369.0,1471,0,15 days before,15 days before,15 days before,2018.07.21,07-07-2018
594965,For sale,33.98,,21145.0,1331,0,2 hours before,2 hours before,2 hours before,2018.08.06,07-07-2018
611936,For sale,7.8,9408.0,12000.0,1361,0,15 days before,15 days before,15 days before,2018.07.21,07-07-2018
608051,For sale,6.03,14154.0,21307.0,1531,1,21 days before,5 days before,3 days before,2018.07.21,07-07-2018
609361,For sale,17.38,17680.0,19376.0,962,0,19 days before,19 days before,18 hours before,2018.07.22,07-07-2018
611109,For sale,5.45,,18990.0,2336,0,17 days before,11 days before,8 hours before,2018.07.23,07-07-2018
374624,For sale,4.58,12582.0,20000.0,4739,1,4 days before,4 days before,5 days before,2018.08.02,07-07-2018
611147,For sale,8.6,13417.0,18105.0,1524,1,16 days before,1 days before,1 days before,2018.07.24,07-07-2018
617494,For sale,11.3,,11895.0,1072,0,7 days before,2 days before,17 hours before,2018.07.29,07-07-2018
614001,For sale,6.58,12777.0,19296.0,1131,0,11 days before,9 days before,11 days before,2018.07.26,07-07-2018
612812,For sale,7.65,,16594.0,2116,0,14 days before,6 days before,5 days before,2018.07.22,07-07-2018
612863,For sale,130.0,,70652.0,2152,0,14 days before,14 days before,7 days before,2018.07.22,07-07-2018
612908,For sale,12.0,,12632.0,1164,0,14 days before,,17 hours before,2018.07.23,07-07-2018
613185,For sale,115.0,,49784.0,1573,0,14 days before,13 days before,2 days before,2018.07.23,07-07-2018
606113,For sale,6.5,17241.0,23050.0,1784,1,24 days before,8 days before,8 days before,2018.07.13,07-07-2018
571152,For sale,5.9,10405.0,12190.0,2147,0,24 days before,5 days before,15 days before,2018.07.13,07-07-2018
622839,For sale,5.88,8400.0,,15,0,47 minutes before,47 minutes before,49 minutes before,2018.08.06,07-07-2018
616152,For sale For rent,6.98,,18417.0,1710,0,9 days before,9 days before,1 days before,2018.07.30,07-07-2018
602824,For sale,5.85,,20313.0,2281,0,29 days before,12 days before,7 days before,2018.07.13,07-07-2018
604946,,5.3,10643.0,12802.0,4074,0,26 days before,13 days before,3 days before,2018.07.11,07-07-2018
618881,For sale,15.8,17893.0,19949.0,531,0,5 days before,5 days before,10 days before,2018.08.03,07-07-2018
598363,For sale,7.8,,16957.0,3052,0,25 days before,20 days before,5 days before,2018.07.11,07-07-2018
610694,For sale,5.9,,16809.0,1441,0,17 days before,5 days before,1 days before,2018.07.23,07-07-2018
596966,For sale,15.3,18773.0,22700.0,1657,0,1 days before,1 days before,6 hours before,2018.08.05,07-07-2018
622460,For sale,5.4,15340.0,22314.0,50,0,6 hours before,6 hours before,6 hours before,2018.08.06,07-07-2018
598962,For sale,8.08,,19147.0,2347,1,28 days before,1 days before,5 days before,2018.07.08,07-07-2018
614087,For sale,14.3,15310.0,20695.0,716,0,12 days before,9 days before,8 hours before,2018.07.25,07-07-2018
622231,For sale,4.35,,19420.0,120,0,23 hours before,23 hours before,8 days before,2018.08.05,07-07-2018
445448,For sale,12.0,18182.0,27523.0,3438,0,3 months before,25 days before,3 days before,2018.07.09,07-07-2018
537616,For sale,5.1,,28814.0,2953,0,28 days before,5 days before,24 hours before,2018.07.08,07-07-2018
622185,For sale,4.79,,13686.0,150,0,24 hours before,,8 hours before,2018.08.05,07-07-2018
524270,For sale,78.0,28772.0,37125.0,4747,1,24 days before,24 days before,24 days before,2018.07.13,07-07-2018
603423,For sale,12.3,,19219.0,1578,0,28 days before,28 days before,17 hours before,2018.07.09,07-07-2018
617221,For sale,7.25,13969.0,18216.0,175,0,8 days before,8 days before,4 hours before,2018.07.29,07-07-2018
570048,For sale,7.38,,12466.0,1025,0,8 days before,6 days before,6 days before,2018.07.29,07-07-2018
617679,For sale,13.6,,17503.0,1353,0,7 days before,2 minutes before,8 days before,2018.07.30,07-07-2018
617442,For sale,5.88,,19279.0,430,1,7 days before,7 days before,2 days before,2018.07.29,07-07-2018
617928,For sale,7.28,,13659.0,445,0,7 days before,6 days before,5 days before,2018.07.30,07-07-2018
597149,For sale,5.18,,17679.0,1526,0,2 days before,2 days before,1 days before,2018.08.04,07-07-2018
605065,For sale,6.8,,16076.0,1799,0,26 days before,26 days before,19 hours before,2018.07.13,07-07-2018
616944,For sale,8.5,,26235.0,230,0,8 days before,8 days before,4 days before,2018.07.29,07-07-2018
506007,For sale,6.8,,13793.0,4341,1,13 days before,3 days before,8 days before,2018.07.24,07-07-2018
562994,For sale,6.35,16366.0,19538.0,800,0,8 days before,8 days before,14 minutes before,2018.07.29,07-07-2018
592493,For sale,8.0,15810.0,21220.0,1062,0,14 days before,14 days before,1 days before,2018.07.23,07-07-2018
614097,For sale,11.0,13750.0,19400.0,340,0,12 days before,12 days before,8 hours before,2018.07.25,07-07-2018
614110,For sale,3.38,11267.0,17789.0,706,0,12 days before,2 days before,18 days before,2018.07.25,07-07-2018
547509,For sale,6.1,,17183.0,1565,0,12 days before,12 days before,4 hours before,2018.07.25,07-07-2018
591930,For sale,6.38,,10943.0,1110,0,8 days before,8 days before,6 days before,2018.07.29,07-07-2018
590489,For sale,8.0,10498.0,17897.0,1442,0,12 days before,12 days before,1 days before,2018.07.25,07-07-2018
606457,For sale,6.8,10759.0,12639.0,3294,0,24 days before,24 days before,11 days before,2018.07.13,07-07-2018
619663,For sale,4.4,,16176.0,295,0,4 days before,3 days before,6 minutes before,2018.08.02,07-07-2018
591897,For sale,5.38,13937.0,18746.0,1766,0,3 days before,3 days before,3 days before,2018.08.02,07-07-2018
620032,For sale,5.6,14105.0,19858.0,260,0,3 days before,3 days before,3 days before,2018.08.02,07-07-2018
