ID,Region,Region Link,Estate,Estate Link,Status,Price,Price per feet(built-up),Price per feet(salesable area),Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Management Fee,Property age(year),Address,Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
611402,Sai Wan Ho,https://www.28hse.com/en/buy/district-g10,Grand Promenade,https://www.28hse.com/en/buy/estate-1170,For sale,21.80,21124,28349,,High level,3,1032,769,,12.0,,440,0,2 hours before,2 hours before,1 days before,2018.08.07,07-08-2018
615777,"Central, Sheung Wan",https://www.28hse.com/en/buy/district-g2,Queen's Terrace,https://www.28hse.com/en/buy/estate-552,For sale,15.00,17123,24311,,High level,3,876,617,,15.0,,999,0,10 days before,10 days before,1 days before,2018.07.31,07-08-2018
619819,Causeway Bay,https://www.28hse.com/en/buy/district-g5,Le Village,https://www.28hse.com/en/buy/estate-6817,For sale,8.50,,22427,A,High level,2,,379,$ 1891,16.0,,1433,0,4 days before,3 days before,20 hours before,2018.08.02,07-08-2018
618881,"North Point, Fortress Hill",https://www.28hse.com/en/buy/district-g7,City Garden,https://www.28hse.com/en/buy/estate-1070,For sale,15.80,17893,19949,,,,883,792,,32.0,,586,0,6 days before,6 days before,11 days before,2018.08.03,07-08-2018
618300,"North Point, Fortress Hill",https://www.28hse.com/en/buy/district-g7,Yiu Ming Building,https://www.28hse.com/en/buy/estate-8265,For sale,7.38,14110,17956,,Mid level,2,523,411,,36.0,,516,0,7 days before,7 days before,2 days before,2018.08.04,07-08-2018
551804,"Shau Kei Wan, Heng Fa Chuen",https://www.28hse.com/en/buy/district-g11,Apartment,https://www.28hse.com/en/buy/estate-1183,For sale,4.38,,22813,,High level,open style,,192,,,,2191,0,9 days before,24 hours before,33 minutes before,2018.08.04,07-08-2018
617386,,,,,For sale,5.40,13500,17035,,Low level,1,400,317,,,,1152,0,5 days before,1 days before,16 hours before,2018.08.02,07-08-2018
616755,"Shau Kei Wan, Heng Fa Chuen",https://www.28hse.com/en/buy/district-g11,Wah Sing Building,https://www.28hse.com/en/buy/estate-5019,For sale,4.68,,17795,,Low level,1,,263,,34.0,,601,0,9 days before,9 days before,2 days before,2018.08.05,07-08-2018
619607,"North Point, Fortress Hill",https://www.28hse.com/en/buy/district-g7,The Java,https://www.28hse.com/en/buy/estate-5752,For sale,15.00,15657,21739,,,3,958,690,,6.0,,501,0,5 days before,5 days before,1 hours before,2018.08.06,07-08-2018
614078,Causeway Bay,https://www.28hse.com/en/buy/district-g5,Malibu Garden,https://www.28hse.com/en/buy/estate-5754,For sale,11.50,16912,21947,,Mid level,2,680,524,,26.0,,1412,0,4 hours before,4 hours before,4 hours before,2018.09.06,07-08-2018
615333,"North Point, Fortress Hill",https://www.28hse.com/en/buy/district-g7,Provident Centre,https://www.28hse.com/en/buy/estate-1078,For sale,17.38,18275,20544,,,,951,846,,36.0,,698,0,11 days before,,2 days before,2018.08.02,07-08-2018
616635,Wan Chai,https://www.28hse.com/en/buy/district-g4,Kwong Sang Hong Building,https://www.28hse.com/en/buy/estate-900,For sale,8.80,16000,21103,,,1,550,417,,42.0,,280,0,9 days before,6 days before,2 days before,2018.08.07,07-08-2018
609361,TaiKoo,https://www.28hse.com/en/buy/district-g9,TaiKoo Shing,https://www.28hse.com/en/buy/estate-1140,For sale,17.38,17680,19376,太古城,,,983,897,,31.0,,967,0,20 days before,20 days before,1 days before,2018.07.22,07-08-2018
374624,Island West,https://www.28hse.com/en/buy/district-g1,Rex Building,https://www.28hse.com/en/buy/estate-6126,For sale,4.58,12582,20000,低層B室,Low level,open style,364,229,$ 835,27.0,,4844,1,5 days before,5 days before,6 days before,2018.08.02,07-08-2018
610694,"North Point, Fortress Hill",https://www.28hse.com/en/buy/district-g7,New Wealth Mansion,https://www.28hse.com/en/buy/estate-5921,For sale,5.90,,16809,,Low level,2,,351,,27.0,,1496,0,18 days before,6 days before,2 days before,2018.07.23,07-08-2018
