Region,Region Link,Estate,Estate Link,ID,Status,Price,Price per feet(built-up),Price per feet(salesable area),Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Management Fee,Property age(year),Address,Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
Tuen Mun,https://www.28hse.com/en/buy/district-g48,Prime View Garden,https://www.28hse.com/en/buy/estate-4489,626774,For sale,HK$ 4.18M ,,"$10,556",,,,,396 ,,33,NO.2 KING FUNG PATH,25,0,47 minutes before,47 minutes before,1 hours before,2018.08.11,07-12-2018
Aberdeen,https://www.28hse.com/en/buy/district-g13,Waterfront South,https://www.28hse.com/en/buy/estate-298,584275,For sale,HK$ 9.80M ,,"$15,433",,High level,,,635 ,,,NO.1 YUE WOK STREET,4449,0,2 hours before,2 hours before,2 hours before,2018.08.11,07-12-2018
"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Yoho Midtown,https://www.28hse.com/en/buy/estate-5542,625610,For sale,HK$ 11.00M ,"$13,871","$18,122",M1 C座,High level,3,793 ,607 ,,8,市地段 504 號,297,0,1 days before,1 days before,1 days before,2018.08.10,07-12-2018
"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Village,https://www.28hse.com/en/buy/estate-4357,582714,For sale,HK$ 4.68M ,"$6,685",,,Ground Floor,3,700 ,,,,--,5374,1,7 hours before,7 hours before,2 days before,2018.08.11,07-12-2018
"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Village,https://www.28hse.com/en/buy/estate-4357,580490,For sale,HK$ 5.68M ,"$8,114",,,High level,3,700 ,,,,--,836,0,7 hours before,7 hours before,7 days before,2018.08.11,07-12-2018
Tuen Mun,https://www.28hse.com/en/buy/district-g48,Village,https://www.28hse.com/en/buy/estate-4477,626264,For sale,HK$ 12.38M ,"$3,537",,,,4,"3,500 ",,,,--,326,1,6 hours before,6 hours before,7 hours before,2018.08.11,07-12-2018
Tuen Mun,https://www.28hse.com/en/buy/district-g48,The Sherwood,https://www.28hse.com/en/buy/estate-4474,626692,For sale,HK$ 5.20M ,"$9,793","$14,092",,,,531 ,369 ,,13,NO.8 FUK HANG TSUEN ROAD,26,0,2 hours before,,5 days before,2018.08.11,07-12-2018
"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Village,https://www.28hse.com/en/buy/estate-4357,626391,For sale,HK$ 4.68M ,"$6,685",,,,,700 ,,,,--,285,0,5 hours before,5 hours before,6 hours before,2018.08.11,07-12-2018
"Kwai Chung,Kwai Fong",https://www.28hse.com/en/buy/district-g50,The apex,https://www.28hse.com/en/buy/estate-4678,559463,For sale,HK$ 6.88M ,,"$14,393",,,,,478 ,,11,NO.33 WO YI HOP ROAD,2547,0,1 hours before,1 hours before,5 hours before,2018.08.11,07-12-2018
"Tai Kok Tsui,Olympic,Kowloon Station",https://www.28hse.com/en/buy/district-g29,Hampton Place,https://www.28hse.com/en/buy/estate-2563,612108,For sale,HK$ 10.80M ,"$17,618","$24,000",,High level,2,613 ,450 ,,14,NO.11 HOI FAN ROAD,1668,0,6 days before,6 days before,10 hours before,2018.08.21,07-12-2018
"Sham Shui Po,Shek Kip Mei",https://www.28hse.com/en/buy/district-g27,Po Tin Building,https://www.28hse.com/en/buy/estate-7832,621972,For sale,HK$ 4.98M ,,"$19,606",,Low level,,,254 ,,37,No.39 Wai Chi Street,1357,0,6 days before,5 days before,6 days before,2018.08.05,07-12-2018
"Kowloon Tong,Ho Man Tin,Yau Yat Tsuen",https://www.28hse.com/en/buy/district-g26,Beverly Villa,https://www.28hse.com/en/buy/estate-2152,594965,For sale,HK$ 33.98M ,,"$21,145",1B2,Low level,4,,"1,607 ",$ 4600,37,NO.16 LA SALLE ROAD,1943,0,5 days before,5 days before,5 days before,2018.08.06,07-12-2018
"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Village,https://www.28hse.com/en/buy/estate-4357,624695,For sale,HK$ 3.88M ,"$5,542",,,Mid level,3,700 ,,,,--,1528,2,2 days before,1 days before,2 days before,2018.08.09,07-12-2018
